Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
79325,Islam and the Destiny of Man,Charles Le Gai Eaton,"Eaton, Charles Le Gai",,"=""088706163X""","=""9780887061639""",5,State University of New York Press,Paperback,256,1985,1985,2024/02/12,2021/12/28,,,read,,,,1,0
12051,Their Heads are Green and Their Hands are Blue: Scenes from the Non-Christian World,Paul Bowles,"Bowles, Paul",Edmund White,"=""0061137375""","=""9780061137372""",0,EccoPress,Paperback,240,2006,1957,,2024/02/08,to-read,to-read (#31),to-read,,,,0,0
123845,Self-Reliance and Other Essays (Dover Thrift Editions: Philosophy),Ralph Waldo Emerson,"Emerson, Ralph Waldo",,"=""0486277909""","=""9780486277905""",4,Dover Publications,Paperback,117,1993,1844,2024/01/29,2024/01/29,,,read,,,,1,0
1772910,White Nights,Fyodor Dostoyevsky,"Dostoyevsky, Fyodor",Olga Shartse,"=""""","=""""",4,,Paperback,82,1848,1848,2024/01/20,2024/01/19,,,read,,,,1,0
16640,The Sorrows of Young Werther,Johann Wolfgang von Goethe,"Goethe, Johann Wolfgang von","Burton Pike, R. Dillon Boylan, Elizabeth Wolff Mayer","=""0812969901""","=""9780812969900""",4,Modern Library,Paperback,149,2005,1774,2024/01/17,2024/01/14,,,read,,,,1,0
48635408,Men Who Hate Women: The Extremism Nobody is Talking About,Laura Bates,"Bates, Laura",,"=""""","=""""",4,Simon & Schuster UK,Kindle Edition,366,2020,2020,2024/01/14,2023/07/03,,,read,,,,1,0
415816,Above the River: The Complete Poems,James Wright,"Wright, James",Donald Hall,"=""0374522820""","=""9780374522827""",0,"Farrar, Straus and Giroux",Paperback,432,1992,1990,,2024/01/14,on-the-bookshelf,on-the-bookshelf (#66),on-the-bookshelf,,,,0,0
1547992,Selected Poems,Pablo Neruda,"Neruda, Pablo","Nathaniel Tarn, Anthony Kerrigan, W.S. Merwin, Alastair Reid","=""0613365771""","=""9780613365772""",0,San Val,Library Binding,508,1990,1949,,2024/01/12,on-the-bookshelf,on-the-bookshelf (#65),on-the-bookshelf,,,,0,0
54304028,"Hunt, Gather, Parent: What Ancient Cultures Can Teach Us About the Lost Art of Raising Happy, Helpful Little Humans",Michaeleen Doucleff,"Doucleff, Michaeleen",,"=""1982149671""","=""9781982149673""",2,Avid Reader Press / Simon & Schuster,Hardcover,352,2021,2021,2024/01/11,2024/01/11,,,read,,,,1,0
9592,Mother Night,Kurt Vonnegut Jr.,"Jr., Kurt Vonnegut",,"=""0385334141""","=""9780385334143""",4,Dial Press,Paperback,288,1999,1961,2024/01/02,2023/12/29,,,read,,,,1,0
457228,Butcher's Crossing,John  Williams,"Williams, John",Michelle Latiolais,"=""1590171985""","=""9781590171981""",5,New York Review Books,Paperback,274,2007,1960,2023/12/31,2023/12/29,,,read,,,,1,0
21913812,This Changes Everything: Capitalism vs. The Climate,Naomi Klein,"Klein, Naomi",,"=""1451697384""","=""9781451697384""",0,Simon & Schuster,Hardcover,566,2014,2014,,2021/01/01,on-the-bookshelf,on-the-bookshelf (#64),on-the-bookshelf,,,,0,0
80449,On the Genealogy of Morals,Friedrich Nietzsche,"Nietzsche, Friedrich",Douglas Smith,"=""019283617X""","=""9780192836175""",0,Oxford University Press,Paperback,208,1999,1887,,2021/05/27,on-the-bookshelf,on-the-bookshelf (#63),on-the-bookshelf,,,,0,0
18912,The Sublime Object of Ideology,Slavoj Žižek,"Žižek, Slavoj",,"=""0860919714""","=""9780860919711""",0,Verso,Paperback,256,1989,1989,,2021/03/08,on-the-bookshelf,on-the-bookshelf (#62),on-the-bookshelf,,,,0,0
1124178,Beast and Man,Mary Midgley,"Midgley, Mary",,"=""0415289874""","=""9780415289870""",0,Routledge,Paperback,366,2002,1978,,2021/07/01,on-the-bookshelf,on-the-bookshelf (#61),on-the-bookshelf,,,,0,0
4406,East of Eden,John Steinbeck,"Steinbeck, John",,"=""0142000655""","=""9780142000656""",0,Penguin Books,Paperback,601,2002,1952,,2022/07/22,on-the-bookshelf,on-the-bookshelf (#60),on-the-bookshelf,,,,0,0
434903,The Rings of Saturn,W.G. Sebald,"Sebald, W.G.",Michael Hulse,"=""0811214133""","=""9780811214131""",5,New Directions,Paperback,296,1999,1995,2023/11/16,2023/06/12,,,read,,,,1,0
1824325,You Shall Be as Gods: A Radical Interpretation of the Old Testament and Its Traditions,Erich Fromm,"Fromm, Erich",,"=""0449307638""","=""9780449307632""",4,"Fawcett Publications, Inc. (Greenwich, CT)",Mass Market Paperback,191,1986,1966,2023/11/16,2021/12/26,,,read,,,,1,0
5107,The Catcher in the Rye,J.D. Salinger,"Salinger, J.D.",,"=""0316769177""","=""9780316769174""",3,Back Bay Books,Paperback,277,2001,1951,2023/11/16,2023/11/16,,,read,,,,1,0
18373,Flowers for Algernon,Daniel Keyes,"Keyes, Daniel",,"=""015603008X""","=""9780156030083""",4,Harvest Books,Paperback,311,2004,1966,2020/07/31,2023/08/23,,,read,,,,2,0
337427,Nietzsche and the Vicious Circle,Pierre Klossowski,"Klossowski, Pierre",Daniel W. Smith,"=""0826477194""","=""9780826477194""",0,Bloomsbury Academic,Paperback,240,2005,1969,,2022/02/03,on-the-bookshelf,on-the-bookshelf (#59),on-the-bookshelf,,,,0,0
27833494,Dark Money: The Hidden History of the Billionaires Behind the Rise of the Radical Right,Jane Mayer,"Mayer, Jane",,"=""""","=""""",0,Doubleday,ebook,464,2016,2016,,2022/03/02,on-the-bookshelf,on-the-bookshelf (#58),on-the-bookshelf,,,,0,0
58537332,"The Myth of Normal: Trauma, Illness, and Healing in a Toxic Culture",Gabor Maté,"Maté, Gabor",Daniel Maté,"=""0593083881""","=""9780593083888""",5,Avery,Hardcover,576,2022,2022,2023/06/16,2023/06/16,,,read,,,,1,0
17601,"The Will to Change: Men, Masculinity, and Love",bell hooks,"hooks, bell",,"=""0743456084""","=""9780743456081""",4,Washington Square Press,Paperback,208,2004,2003,2023/06/03,2022/01/07,,,read,,,,1,0
17349,The Demon-Haunted World: Science as a Candle in the Dark,Carl Sagan,"Sagan, Carl",Ann Druyan,"=""0345409469""","=""9780345409461""",4,Ballantine Books,Paperback,459,1997,1995,2023/03/09,2023/03/09,,,read,,,,1,0
39899253,Scattered Minds: The Origins and Healing of Attention Deficit Disorder,Gabor Maté,"Maté, Gabor",,"=""1785042211""","=""9781785042218""",0,Vermilion,Paperback,368,2019,1999,,2022/09/14,to-read,to-read (#30),to-read,,,,0,0
